	aay	Ama	Ance	Antp	apt	Blimp-1	bmm	bowl	brk	Btk29A	bun	cad	CenG1A	CG10479	CG11208	CG14427	CG17724	CG17786	CG43394	CG8147	cnc	croc	Cyp310a1	D	dan	danr	Dfd	disco	Doc2	Doc3	dpn	edl	ems	erm	Esp	E(spl)m5-HLH	eve	exex	fj	fkh	ftz	gk	gt	h	hb	hkb	htl	Ilp4	ImpE2	ImpL2	ken	kni	knrl	Kr	lok	Mdr49	Mes2	MESR3	mfas	Nek2	NetA	noc	nub	numb	oc	odd	peb	prd	pxb	rau	rho	run	sna	srp	tkv	tll	toc	Traf4	trn	tsh	twi	zen	zen2	zfh1
2768	0.48901999999999995	0.657574	0.002285	0.158924	0.374338	0.555963	0.24351199999999998	0.222465	0.193408	0.020247	0.175431	0.590878	0.197603	0.08679500000000001	0.23897	0.121779	0.074879	0.075573	0.19351400000000002	0.362696	0.13764300000000002	0.10485499999999999	0.359727	0.155952	0.058524	0.11071800000000001	0.15946300000000002	0.840174	0.043485	0.31044099999999997	0.145526	0.104751	0.102448	0.16658699999999999	0.170823	0.145321	0.029923	0.063913	0.203745	0.188185	0.523532	0.174036	0.051515	0.20832699999999998	0.42051400000000005	0.040957	0.093332	0.045784	0.10890599999999999	0.07952100000000001	0.46717	0.089137	0.047309	0.02335	0.11721400000000001	0.144896	0.48887200000000003	0.830174	0.316867	0.43156300000000003	0.31666500000000003	0.21428200000000003	0.086756	0.083695	0.133484	0.051466	0.169265	0.037689	0.086413	0.019034	0.10745999999999999	0.313184	0.843842	0.067478	0.25895799999999997	0.205735	0.193759	0.426887	0.31648200000000004	0.078028	0.745192	0.020697999999999998	0.343077	0.226215
2769	0.46593900000000005	0.829565	0.054653999999999994	0.18752	0.29188600000000003	0.44444700000000004	0.273945	0.253654	0.168454	0.15666300000000002	0.186253	0.8813489999999999	0.162974	0.062083000000000006	0.211375	0.289432	0.110056	0.100464	0.266656	0.353948	0.157873	0.095539	0.522515	0.375573	0.11264400000000001	0.185718	0.181608	0.45987799999999995	0.077676	0.31795	0.046856999999999996	0.052052999999999995	0.12961099999999998	0.115185	0.14686	0.195167	0.11783199999999999	0.14017000000000002	0.38613000000000003	0.053871	0.860282	0.1709	0.060858	0.22719	0.506215	0.086051	0.296835	0.039748	0.14185599999999998	0.15291300000000002	0.317353	0.088035	0.099017	0.035123	0.136238	0.196623	0.641239	0.47210100000000005	0.170963	0.42535	0.552279	0.117381	0.06716	0.097717	0.11746500000000001	0.214381	0.136579	0.086077	0.129331	0.19017699999999998	0.185375	0.402656	0.8587020000000001	0.108925	0.339596	0.106451	0.125077	0.737458	0.388799	0.09600700000000001	0.625893	0.038967	0.292653	0.190835
2770	0.40928200000000003	0.661415	0.011645	0.10278399999999999	0.43946899999999994	0.42443100000000006	0.272575	0.269459	0.14072300000000001	0.11530399999999999	0.136001	0.286871	0.12228800000000001	0.122148	0.12064000000000001	0.203601	0.05363099999999999	0.06515499999999999	0.153082	0.41602	0.062615	0.056495000000000004	0.321959	0.13281400000000002	0.084023	0.078298	0.164849	0.613484	0.045971	0.272039	0.157606	0.069476	0.08944400000000001	0.182538	0.182248	0.20749499999999999	0.025907999999999997	0.039124	0.203872	0.211454	0.303176	0.09844	0.041886	0.259745	0.330297	0.067491	0.052738	0.045784	0.12293399999999999	0.084747	0.296245	0.057795000000000006	0.027238	0.022938999999999998	0.11717000000000001	0.154279	0.699068	0.8173560000000001	0.140175	0.5818300000000001	0.306678	0.385092	0.052532	0.067039	0.102807	0.029561	0.133407	0.033316000000000005	0.141624	0.150103	0.16303299999999998	0.300755	0.811612	0.121646	0.361077	0.304596	0.299722	0.434446	0.220712	0.06694	0.796736	0.024165	0.405597	0.268181
2771	0.30368	0.8923690000000001	0.036057	0.156779	0.392027	0.42653599999999997	0.17768699999999998	0.244275	0.162455	0.11963900000000001	0.105077	0.858883	0.23552199999999998	0.145976	0.17336400000000002	0.22754499999999997	0.070254	0.062986	0.19958900000000002	0.33079899999999995	0.143046	0.070242	0.459009	0.198266	0.082807	0.097117	0.201736	0.621785	0.07324	0.273567	0.091059	0.10079400000000001	0.10785299999999999	0.11335899999999999	0.192852	0.24799899999999997	0.05128099999999999	0.06344	0.300701	0.089507	0.716387	0.13401300000000002	0.047577999999999995	0.24869699999999997	0.38609499999999997	0.071026	0.196966	0.043855	0.148607	0.094595	0.446316	0.089383	0.044610000000000004	0.028508999999999996	0.08536	0.191581	0.7984220000000001	0.913802	0.23353600000000002	0.39219499999999996	0.533273	0.19738	0.087089	0.05612999999999999	0.094681	0.099672	0.161297	0.050991	0.124266	0.15481	0.170995	0.38604099999999997	0.8224030000000001	0.141793	0.335698	0.199595	0.142012	0.44423599999999996	0.308046	0.075797	0.850701	0.02665	0.281031	0.292123
2772	0.334494	0.7312029999999999	0.036107	0.137955	0.341468	0.323934	0.155573	0.288688	0.136651	0.067925	0.126152	0.68899	0.19150799999999998	0.076096	0.166301	0.17156	0.083097	0.023292	0.132712	0.259916	0.11724000000000001	0.09650299999999999	0.369477	0.178574	0.076838	0.068151	0.164608	0.638837	0.05274500000000001	0.334284	0.13192	0.11886600000000001	0.089863	0.21436100000000002	0.194246	0.22469299999999998	0.035979000000000004	0.135776	0.261323	0.106307	0.585244	0.119145	0.043264	0.198027	0.377336	0.042175	0.116102	0.038999	0.093426	0.10503699999999999	0.42498199999999997	0.091665	0.038463	0.035304	0.130598	0.21715900000000002	0.723316	0.7991	0.151649	0.43788599999999994	0.38662199999999997	0.236654	0.081643	0.037786	0.07950700000000001	0.047806	0.09628300000000001	0.044156	0.173201	0.119424	0.16194	0.361093	0.8254540000000001	0.103826	0.380125	0.237012	0.151945	0.47543500000000005	0.487625	0.068774	0.858584	0.017355000000000002	0.237141	0.23082399999999997
2773	0.32612800000000003	0.701535	0.035595999999999996	0.126669	0.30216	0.138696	0.26752800000000004	0.261519	0.143587	0.164659	0.055036	0.651597	0.22686399999999998	0.066348	0.168736	0.170927	0.117691	0.06216	0.165595	0.34926199999999996	0.088946	0.082428	0.382581	0.149654	0.076838	0.10114400000000001	0.160591	0.621305	0.06372	0.26673	0.170374	0.10858800000000002	0.080585	0.182228	0.164327	0.205828	0.026691000000000003	0.135776	0.110903	0.219248	0.327339	0.066062	0.051227999999999996	0.285002	0.344335	0.05475	0.042187	0.038999	0.107716	0.059023	0.301915	0.058819	0.033372000000000006	0.031735	0.12722	0.29136	0.75678	1.391675	0.184144	0.43788599999999994	0.224321	0.34339899999999995	0.09009199999999999	0.029294999999999998	0.068464	0.015057	0.158556	0.028383	0.176541	0.150426	0.103425	0.33972199999999997	0.8224319999999999	0.10422000000000001	0.333716	0.280471	0.192024	0.719777	0.27371	0.051088999999999996	0.877577	0.022666	0.19281099999999998	0.17913199999999999
2774	1.206856	0.146654	0.121621	0.06993200000000001	0.663466	0.312973	0.150336	0.036825	0.542367	0.44466300000000003	0.390554	0.5783149999999999	0.24986999999999998	0.213493	0.136416	0.249962	0.064552	0.095692	0.033301	1.174988	0.177255	0.23792399999999997	0.303615	0.07891000000000001	0.165422	0.089964	0.23115500000000003	0.22888200000000003	0.819435	1.1604649999999999	0.032131	0.25655900000000004	0.11285	0.20692	0.23127899999999998	0.18967799999999999	0.020451	0.586504	0.119102	0.784276	0.038593	0.312157	0.075227	0.29029699999999997	0.11514	0.543247	0.10748800000000001	0.035684	0.11638599999999999	0.32718600000000003	0.08724900000000001	0.084773	0.13308499999999998	0.278491	0.28720100000000004	0.102816	0.211483	0.380422	0.392897	0.5723600000000001	0.197925	0.050887	0.154204	0.145218	0.166508	0.040468000000000004	1.7296029999999998	0.040616	0.201835	0.6226010000000001	0.12401199999999998	0.146677	0.132468	1.098154	0.604092	0.33519499999999997	0.040806999999999996	0.541852	0.12885	0.12584700000000001	0.09794	0.030574	0.570739	0.5560579999999999
2775	1.2471860000000001	0.136689	0.122214	0.079665	0.573133	0.173767	0.150336	0.347029	0.564429	0.518658	0.354684	0.5488310000000001	0.301114	0.23560999999999999	0.255515	0.202941	0.041143	0.155949	0.036164	1.125687	0.208031	0.22938899999999998	0.22481900000000002	0.078935	0.135037	0.092016	0.22207600000000002	0.299266	0.910277	0.990542	0.036938	0.28582199999999996	0.08375	0.28575700000000004	0.206011	0.188135	0.022522999999999998	0.496122	0.140389	0.8074439999999999	0.042468	0.25249299999999997	0.069998	0.181283	0.117138	0.456466	0.105744	0.037798000000000005	0.111225	0.324466	0.07144099999999999	0.055560000000000005	0.145481	0.297081	0.13483900000000001	0.10240899999999999	0.196	0.41369799999999995	0.345415	0.394117	0.17527	0.046196	0.11651099999999999	0.12998099999999999	0.12212	0.050829	1.5881319999999999	0.036441	0.22104000000000001	0.558042	0.155971	0.175674	0.137021	1.1646459999999998	0.7082470000000001	0.314065	0.05898200000000001	0.54592	0.071021	0.11224100000000001	0.08945499999999999	0.042879	0.562084	0.527271
2776	1.1490879999999999	0.138381	0.06567100000000001	0.045979	0.5512090000000001	0.204425	0.22036799999999998	0.236404	0.564429	0.48059700000000005	0.394331	0.5041899999999999	0.186863	0.190268	0.24716300000000002	0.21452100000000002	0.045653	0.12704300000000002	0.028942000000000002	1.36352	0.24698299999999998	0.18801800000000002	0.22481900000000002	0.079211	0.135037	0.101627	0.24836100000000003	0.36465	0.758791	0.975234	0.061857	0.311008	0.161215	0.28575700000000004	0.2547	0.125959	0.020071000000000002	0.48726	0.12409500000000001	0.78559	0.038860000000000006	0.24871500000000002	0.06418099999999999	0.20299	0.118324	0.5015689999999999	0.110572	0.036022000000000005	0.11197599999999999	0.245365	0.112799	0.06453500000000001	0.13933900000000002	0.28026999999999996	0.104808	0.10240899999999999	0.15950899999999998	0.36443400000000004	0.207443	0.691254	0.14285899999999999	0.07395499999999999	0.16975	0.134329	0.12800799999999998	0.036423000000000004	1.7535450000000001	0.035244	0.200547	0.508306	0.171198	0.145195	0.11875	1.1051879999999998	0.6637529999999999	0.316012	0.030050999999999998	0.60628	0.102708	0.11090499999999999	0.09692200000000001	0.043889	0.41157299999999997	0.629268
2777	0.971875	0.170179	0.043385	0.03971	0.739066	0.247741	0.2493	0.308327	0.448337	0.544565	0.41506800000000005	0.489859	0.164694	0.143741	0.20263499999999998	0.207169	0.027977999999999996	0.146606	0.053887	1.405301	0.19275	0.214533	0.21873499999999998	0.061884	0.166468	0.091186	0.214331	0.5052270000000001	0.675657	0.891144	0.046402	0.21419899999999997	0.19569	0.219771	0.24984499999999998	0.1762	0.023219	0.513247	0.090169	0.816074	0.035657	0.212844	0.050553	0.187675	0.12269300000000001	0.408937	0.078425	0.038597	0.116684	0.31246599999999997	0.113129	0.061439999999999995	0.130753	0.283333	0.10167999999999999	0.065273	0.253056	0.447187	0.23822600000000002	0.548288	0.149328	0.0629	0.172057	0.103098	0.184792	0.046571	1.489209	0.039258	0.167097	0.813596	0.167201	0.111703	0.102751	0.944809	0.630464	0.345955	0.054932	0.572979	0.1034	0.086813	0.091585	0.031874	0.484203	0.5576770000000001
